q_id,q_group_id,pergunta_orig,query_enviada,tipo_anafora,modo,n_retornados,total_hits_est,tempo_ms,doc_1_id,doc_1_fonte,doc_1_data,doc_2_id,doc_3_id,doc_4_id,doc_5_id,doc_6_id,doc_7_id,doc_8_id,doc_9_id,doc_10_id,todos_doc_ids,erro
0001,2600,Que animal é o Cocas?,Que animal é o Cocas?,N/A,resolvida_sw,10,1000,28.0,PUBLICO-19950930-097,Publico,1995-09-30,FSP950210-007,PUBLICO-19941124-118,PUBLICO-19950505-055,FSP940703-067,PUBLICO-19940419-107,FSP951024-011,PUBLICO-19940119-159,PUBLICO-19940509-096,PUBLICO-19940922-055,PUBLICO-19950930-097|FSP950210-007|PUBLICO-19941124-118|PUBLICO-19950505-055|FSP940703-067|PUBLICO-19940419-107|FSP951024-011|PUBLICO-19940119-159|PUBLICO-19940509-096|PUBLICO-19940922-055,
0002,2601,Quem foi o criador de Tintin?,Quem foi o criador de Tintin?,N/A,resolvida_sw,10,1000,7.0,FSP950501-103,Folha,950501,FSP940131-135,PUBLICO-19940720-123,PUBLICO-19940502-015,PUBLICO-19951228-078,FSP940714-131,PUBLICO-19950731-089,PUBLICO-19951204-096,PUBLICO-19940419-115,PUBLICO-19941105-058,FSP950501-103|FSP940131-135|PUBLICO-19940720-123|PUBLICO-19940502-015|PUBLICO-19951228-078|FSP940714-131|PUBLICO-19950731-089|PUBLICO-19951204-096|PUBLICO-19940419-115|PUBLICO-19941105-058,
0003,2601,Quando é que ele foi criado?,Quando é que ele foi criado?,N/A,resolvida_sw,10,1000,9.5,FSP950507-010,Folha,950507,FSP950619-002,FSP950929-008,FSP950528-174,PUBLICO-19940613-050,PUBLICO-19950813-005,FSP940501-077,FSP940715-107,FSP940927-107,PUBLICO-19940612-074,FSP950507-010|FSP950619-002|FSP950929-008|FSP950528-174|PUBLICO-19940613-050|PUBLICO-19950813-005|FSP940501-077|FSP940715-107|FSP940927-107|PUBLICO-19940612-074,
0004,2601,Como se chama o cão dele?,Como se chama o cão dele?,N/A,resolvida_sw,10,1000,6.4,PUBLICO-19950427-125,Publico,1995-04-27,PUBLICO-19950605-074,PUBLICO-19950617-068,PUBLICO-19950919-132,PUBLICO-19940103-073,PUBLICO-19940104-102,PUBLICO-19950429-143,PUBLICO-19951002-071,PUBLICO-19940828-053,PUBLICO-19951017-009,PUBLICO-19950427-125|PUBLICO-19950605-074|PUBLICO-19950617-068|PUBLICO-19950919-132|PUBLICO-19940103-073|PUBLICO-19940104-102|PUBLICO-19950429-143|PUBLICO-19951002-071|PUBLICO-19940828-053|PUBLICO-19951017-009,
0005,2601,De que raça é o cão?,De que raça é o cão?,N/A,resolvida_sw,10,1000,14.7,FSP940326-006,Folha,940326,FSP951007-092,PUBLICO-19940121-130,PUBLICO-19940122-147,PUBLICO-19940828-053,PUBLICO-19941101-094,FSP940403-190,FSP940710-191,PUBLICO-19940404-059,PUBLICO-19941124-102,FSP940326-006|FSP951007-092|PUBLICO-19940121-130|PUBLICO-19940122-147|PUBLICO-19940828-053|PUBLICO-19941101-094|FSP940403-190|FSP940710-191|PUBLICO-19940404-059|PUBLICO-19941124-102,
0006,2602,Diga uma escola de samba fundada nos anos 40.,Diga uma escola de samba fundada nos anos 40.,N/A,resolvida_sw,10,365,46.2,PUBLICO-19950419-131,Publico,1995-04-19,PUBLICO-19940719-157,PUBLICO-19940216-061,PUBLICO-19951130-134,FSP940309-010,FSP951224-178,PUBLICO-19951019-139,PUBLICO-19951026-118,PUBLICO-19951102-102,PUBLICO-19951109-111,PUBLICO-19950419-131|PUBLICO-19940719-157|PUBLICO-19940216-061|PUBLICO-19951130-134|FSP940309-010|FSP951224-178|PUBLICO-19951019-139|PUBLICO-19951026-118|PUBLICO-19951102-102|PUBLICO-19951109-111,
0007,2603,Em que ano houve um terramoto no Irão?,Em que ano houve um terramoto no Irão?,N/A,resolvida_sw,10,1000,33.0,PUBLICO-19950322-134,Publico,1995-03-22,PUBLICO-19940512-132,PUBLICO-19940606-062,PUBLICO-19951230-053,PUBLICO-19940902-064,PUBLICO-19950531-170,PUBLICO-19941226-031,PUBLICO-19940322-001,PUBLICO-19950603-071,PUBLICO-19941202-117,PUBLICO-19950322-134|PUBLICO-19940512-132|PUBLICO-19940606-062|PUBLICO-19951230-053|PUBLICO-19940902-064|PUBLICO-19950531-170|PUBLICO-19941226-031|PUBLICO-19940322-001|PUBLICO-19950603-071|PUBLICO-19941202-117,
0008,2604,Quanto pesa um beija-flor?,Quanto pesa um beija-flor?,N/A,resolvida_sw,10,1000,17.2,PUBLICO-19951224-083,Publico,1995-12-24,PUBLICO-19941004-084,PUBLICO-19950701-061,PUBLICO-19941108-104,PUBLICO-19941019-117,PUBLICO-19940509-100,PUBLICO-19940521-142,PUBLICO-19951230-053,PUBLICO-19941002-113,PUBLICO-19940727-051,PUBLICO-19951224-083|PUBLICO-19941004-084|PUBLICO-19950701-061|PUBLICO-19941108-104|PUBLICO-19941019-117|PUBLICO-19940509-100|PUBLICO-19940521-142|PUBLICO-19951230-053|PUBLICO-19941002-113|PUBLICO-19940727-051,
0009,2605,Onde ficava a Gália Cisalpina?,Onde ficava a Gália Cisalpina?,N/A,resolvida_sw,10,1000,34.2,PUBLICO-19951202-070,Publico,1995-12-02,FSP940828-096,PUBLICO-19940706-135,PUBLICO-19940322-063,FSP951230-095,PUBLICO-19950507-063,FSP940509-088,PUBLICO-19950318-006,PUBLICO-19950527-104,PUBLICO-19951128-019,PUBLICO-19951202-070|FSP940828-096|PUBLICO-19940706-135|PUBLICO-19940322-063|FSP951230-095|PUBLICO-19950507-063|FSP940509-088|PUBLICO-19950318-006|PUBLICO-19950527-104|PUBLICO-19951128-019,
0010,2606,Quantas províncias tem a Catalunha?,Quantas províncias tem a Catalunha?,N/A,resolvida_sw,10,1000,15.9,PUBLICO-19940630-099,Publico,1994-06-30,PUBLICO-19950715-140,PUBLICO-19951126-035,PUBLICO-19940224-091,PUBLICO-19940422-086,PUBLICO-19941009-072,PUBLICO-19940213-081,PUBLICO-19940416-109,PUBLICO-19940811-082,PUBLICO-19940306-088,PUBLICO-19940630-099|PUBLICO-19950715-140|PUBLICO-19951126-035|PUBLICO-19940224-091|PUBLICO-19940422-086|PUBLICO-19941009-072|PUBLICO-19940213-081|PUBLICO-19940416-109|PUBLICO-19940811-082|PUBLICO-19940306-088,
0011,2607,Qual é a montanha mais alta do México?,Qual é a montanha mais alta do México?,N/A,resolvida_sw,10,1000,21.7,FSP951224-108,Folha,951224,PUBLICO-19940809-072,FSP950316-137,PUBLICO-19950228-002,PUBLICO-19940805-018,PUBLICO-19940802-018,PUBLICO-19950401-164,PUBLICO-19950711-047,FSP950418-003,PUBLICO-19940803-010,FSP951224-108|PUBLICO-19940809-072|FSP950316-137|PUBLICO-19950228-002|PUBLICO-19940805-018|PUBLICO-19940802-018|PUBLICO-19950401-164|PUBLICO-19950711-047|FSP950418-003|PUBLICO-19940803-010,
