q_id,q_group_id,pergunta_orig,query_enviada,tipo_anafora,modo,n_retornados,total_hits_est,tempo_ms,doc_1_id,doc_1_fonte,doc_1_data,doc_1_cat,doc_2_id,doc_3_id,doc_4_id,doc_5_id,doc_6_id,doc_7_id,doc_8_id,doc_9_id,doc_10_id,todos_doc_ids,erro
0001,2600,Que animal é o Cocas?,Que animal é o Cocas?,N/A,original,10,1000,31.6,PUBLICO-19950930-097,Publico,1995-09-30,Diversos,FSP950724-082,PUBLICO-19941124-118,PUBLICO-19950710-057,FSP940810-089,PUBLICO-19940509-096,FSP950210-007,FSP940227-075,PUBLICO-19950110-077,FSP941102-010,PUBLICO-19950930-097|FSP950724-082|PUBLICO-19941124-118|PUBLICO-19950710-057|FSP940810-089|PUBLICO-19940509-096|FSP950210-007|FSP940227-075|PUBLICO-19950110-077|FSP941102-010,
0002,2601,Quem foi o criador de Tintin?,Quem foi o criador de Tintin?,N/A,original,10,1000,316.8,PUBLICO-19940728-127,Publico,1994-07-28,Cultura,PUBLICO-19951024-095,FSP950501-103,FSP940131-135,PUBLICO-19950419-131,PUBLICO-19940917-131,PUBLICO-19950404-144,PUBLICO-19940720-123,FSP940531-067,PUBLICO-19940111-124,PUBLICO-19940728-127|PUBLICO-19951024-095|FSP950501-103|FSP940131-135|PUBLICO-19950419-131|PUBLICO-19940917-131|PUBLICO-19950404-144|PUBLICO-19940720-123|FSP940531-067|PUBLICO-19940111-124,
0003,2601,Quando é que ele foi criado?,Quando é que ele foi criado?,N/A,original,10,1000,109.1,PUBLICO-19940528-127,Publico,1994-05-28,Nacional,PUBLICO-19950601-022,PUBLICO-19950212-024,PUBLICO-19951023-110,FSP950701-059,PUBLICO-19950416-023,FSP950701-042,FSP950611-116,FSP950703-013,PUBLICO-19950320-008,PUBLICO-19940528-127|PUBLICO-19950601-022|PUBLICO-19950212-024|PUBLICO-19951023-110|FSP950701-059|PUBLICO-19950416-023|FSP950701-042|FSP950611-116|FSP950703-013|PUBLICO-19950320-008,
0004,2601,Como se chama o cão dele?,Como se chama o cão dele?,N/A,original,10,1000,167.2,PUBLICO-19950124-110,Publico,1995-01-24,Sociedade,PUBLICO-19951026-125,PUBLICO-19950228-100,PUBLICO-19950513-120,PUBLICO-19940121-130,PUBLICO-19950807-102,PUBLICO-19941206-100,PUBLICO-19950919-132,PUBLICO-19940103-073,PUBLICO-19940104-102,PUBLICO-19950124-110|PUBLICO-19951026-125|PUBLICO-19950228-100|PUBLICO-19950513-120|PUBLICO-19940121-130|PUBLICO-19950807-102|PUBLICO-19941206-100|PUBLICO-19950919-132|PUBLICO-19940103-073|PUBLICO-19940104-102,
0005,2601,De que raça é o cão?,De que raça é o cão?,N/A,original,10,1000,90.1,PUBLICO-19941019-122,Publico,1994-10-19,Diversos,PUBLICO-19940404-061,PUBLICO-19950416-062,PUBLICO-19951128-103,PUBLICO-19951026-125,FSP940710-191,PUBLICO-19941105-079,PUBLICO-19950918-105,PUBLICO-19941114-102,FSP950223-090,PUBLICO-19941019-122|PUBLICO-19940404-061|PUBLICO-19950416-062|PUBLICO-19951128-103|PUBLICO-19951026-125|FSP940710-191|PUBLICO-19941105-079|PUBLICO-19950918-105|PUBLICO-19941114-102|FSP950223-090,
0006,2602,Diga uma escola de samba fundada nos anos 40.,Diga uma escola de samba fundada nos anos 40.,N/A,original,10,1000,300.9,PUBLICO-19950419-131,Publico,1995-04-19,Nacional,PUBLICO-19950829-086,FSP940425-001,FSP950104-060,PUBLICO-19940719-157,FSP940215-004,FSP941017-005,FSP950921-119,PUBLICO-19940216-061,PUBLICO-19950103-090,PUBLICO-19950419-131|PUBLICO-19950829-086|FSP940425-001|FSP950104-060|PUBLICO-19940719-157|FSP940215-004|FSP941017-005|FSP950921-119|PUBLICO-19940216-061|PUBLICO-19950103-090,
0007,2603,Em que ano houve um terramoto no Irão?,Em que ano houve um terramoto no Irão?,N/A,original,10,1000,178.2,PUBLICO-19951230-053,Publico,1995-12-30,Local,PUBLICO-19940512-132,PUBLICO-19950322-134,PUBLICO-19940606-062,PUBLICO-19950124-040,PUBLICO-19940710-113,PUBLICO-19940902-064,FSP951002-011,PUBLICO-19941224-172,PUBLICO-19940227-057,PUBLICO-19951230-053|PUBLICO-19940512-132|PUBLICO-19950322-134|PUBLICO-19940606-062|PUBLICO-19950124-040|PUBLICO-19940710-113|PUBLICO-19940902-064|FSP951002-011|PUBLICO-19941224-172|PUBLICO-19940227-057,
0008,2604,Quanto pesa um beija-flor?,Quanto pesa um beija-flor?,N/A,original,10,1000,179.8,PUBLICO-19940217-123,Publico,1994-02-17,Cultura,PUBLICO-19951224-083,FSP940823-007,PUBLICO-19941117-134,PUBLICO-19941004-084,PUBLICO-19941216-150,PUBLICO-19941108-104,PUBLICO-19951230-053,PUBLICO-19950617-009,PUBLICO-19950127-127,PUBLICO-19940217-123|PUBLICO-19951224-083|FSP940823-007|PUBLICO-19941117-134|PUBLICO-19941004-084|PUBLICO-19941216-150|PUBLICO-19941108-104|PUBLICO-19951230-053|PUBLICO-19950617-009|PUBLICO-19950127-127,
0009,2605,Onde ficava a Gália Cisalpina?,Onde ficava a Gália Cisalpina?,N/A,original,10,1000,263.7,PUBLICO-19951017-042,Publico,1995-10-17,Economia,PUBLICO-19951217-087,PUBLICO-19950103-057,PUBLICO-19940228-079,PUBLICO-19951001-068,PUBLICO-19940115-062,PUBLICO-19950907-150,PUBLICO-19951204-077,PUBLICO-19950617-097,PUBLICO-19951223-068,PUBLICO-19951017-042|PUBLICO-19951217-087|PUBLICO-19950103-057|PUBLICO-19940228-079|PUBLICO-19951001-068|PUBLICO-19940115-062|PUBLICO-19950907-150|PUBLICO-19951204-077|PUBLICO-19950617-097|PUBLICO-19951223-068,
0010,2606,Quantas províncias tem a Catalunha?,Quantas províncias tem a Catalunha?,N/A,original,10,1000,77.5,PUBLICO-19940630-099,Publico,1994-06-30,Diversos,PUBLICO-19941206-071,PUBLICO-19940306-088,PUBLICO-19940811-082,PUBLICO-19951126-035,PUBLICO-19940422-086,PUBLICO-19940213-115,PUBLICO-19950514-040,PUBLICO-19940511-065,PUBLICO-19940213-081,PUBLICO-19940630-099|PUBLICO-19941206-071|PUBLICO-19940306-088|PUBLICO-19940811-082|PUBLICO-19951126-035|PUBLICO-19940422-086|PUBLICO-19940213-115|PUBLICO-19950514-040|PUBLICO-19940511-065|PUBLICO-19940213-081,
0011,2607,Qual é a montanha mais alta do México?,Qual é a montanha mais alta do México?,N/A,original,10,1000,170.6,FSP940310-187,Folha,940310,,PUBLICO-19940815-028,PUBLICO-19950118-149,PUBLICO-19940106-055,PUBLICO-19941012-130,PUBLICO-19940830-116,PUBLICO-19950307-130,PUBLICO-19951024-099,FSP940424-132,PUBLICO-19940328-001,FSP940310-187|PUBLICO-19940815-028|PUBLICO-19950118-149|PUBLICO-19940106-055|PUBLICO-19941012-130|PUBLICO-19940830-116|PUBLICO-19950307-130|PUBLICO-19951024-099|FSP940424-132|PUBLICO-19940328-001,
